itemlink_URL,itemlink,Precio,itemparking,itemdetail,itemdetail2
https://www.idealista.com/inmueble/100549325/,"
Casa o chalet independiente en paseo Ronda, Ciudad Jardín, a Coruña
",995.000€,,4 hab.,300 m²
https://www.idealista.com/inmueble/106029075/,"
Piso en calle Colón, Monte Alto - Zalaeta - Atocha, a Coruña
",185.000€,,2 hab.,56 m²
https://www.idealista.com/inmueble/105581583/,"
Piso en plaza de Lugo, Ensanche, a Coruña
",1.325.000€,,4 hab.,225 m²
https://www.idealista.com/inmueble/105652703/,"
Piso en calle Agra do Orzán, Agra del Orzán - Ventorrillo, a Coruña
",245.000€,Garaje incluido,4 hab.,130 m²
https://www.idealista.com/inmueble/103953905/,"
Casa o chalet independiente en San Cristóbal das Viñas, Someso - Matogrande, a Coruña
",295.000€,Garaje incluido,3 hab.,202 m²
https://www.idealista.com/inmueble/105509326/,"
Piso en plaza San Agustín, Ciudad Vieja - Centro, a Coruña
",498.000€,,4 hab.,152 m²
https://www.idealista.com/inmueble/105735638/,"
Piso en calle Cerca, Los Castros - Castrillón, a Coruña
",99.000€,,2 hab.,56 m²
https://www.idealista.com/inmueble/101893193/,"
Piso en Federico Tapia, Ensanche, a Coruña
",270.000€,,2 hab.,177 m²
https://www.idealista.com/inmueble/104643149/,"
Casa o chalet independiente en Lugar de Loureiro, Agra del Orzán - Ventorrillo, a Coruña
",192.000€,Garaje incluido,2 hab.,209 m²
https://www.idealista.com/inmueble/105374370/,"
Chalet pareado en Lugar Lamadosa, Eirís, a Coruña
",120.000€,,2 hab.,85 m²
https://www.idealista.com/inmueble/97117013/,"
Dúplex en Rafael Dieste, Los Castros - Castrillón, a Coruña
",315.000€,Garaje incluido,4 hab.,128 m²
https://www.idealista.com/inmueble/100325877/,"
Ático en a el Burgo, 55, Eirís, a Coruña
",479.000€,Garaje incluido,3 hab.,122 m²
https://www.idealista.com/inmueble/104735509/,"
Piso en calle Juan Flórez, Ensanche, a Coruña
",300.000€,,3 hab.,138 m²
